150,0.01,1.74E+13,9.13E+10,2.19E+11,2.02E+05,2.42E+06,9.08E+12,9.36E+12,4.00E+08,9.40E+09,2.50E+06,2.14E+07
150,0.05,1.98E+14,1.36E+11,1.31E+12,1.54E+05,1.28E+07,4.44E+13,4.69E+13,1.15E+10,7.71E+09,1.71E+07,3.90E+08
150,0.1,4.21E+14,4.45E+11,2.88E+12,1.36E+06,3.26E+07,8.97E+13,9.27E+13,6.89E+10,1.58E+10,4.63E+07,1.11E+09
150,0.5,2.04E+15,1.45E+13,1.69E+13,4.76E+09,2.35E+09,4.85E+14,4.17E+14,4.26E+12,5.51E+11,2.39E+10,3.51E+09
150,5,1.45E+16,2.10E+14,1.15E+14,9.27E+08,7.32E+10,5.10E+15,3.31E+15,7.34E+13,1.69E+13,3.22E+11,2.47E+11
150,25,5.13E+16,1.16E+15,1.78E+14,5.37E+08,1.29E+11,2.01E+16,1.46E+16,8.83E+14,1.09E+14,6.09E+11,7.30E+12
150,50,9.39E+16,2.42E+15,1.85E+14,5.18E+08,1.08E+11,3.61E+16,2.84E+16,2.31E+15,1.62E+14,7.68E+11,6.33E+13
150,110,1.94E+17,5.67E+15,1.85E+14,5.10E+08,8.94E+10,7.27E+16,6.14E+16,6.14E+16,2.35E+14,1.70E+12,1.11E+14
150,150,2.60E+17,7.95E+15,1.84E+14,4.38E+08,9.50E+10,9.68E+16,8.35E+16,1.06E+16,2.74E+14,2.26E+12,6.36E+13
150,200,3.42E+17,1.09E+16,1.83E+14,2.75E+07,1.20E+11,1.27E+17,1.11E+17,1.59E+16,3.19E+14,2.77E+12,2.87E+13
150,250,4.23E+17,1.39E+16,1.83E+14,4.11E+04,1.42E+11,1.57E+17,1.39E+17,2.17E+16,3.62E+14,3.22E+12,1.58E+13
150,300,5.04E+17,1.69E+16,1.83E+14,5.43E+04,1.44E+11,1.87E+17,1.66E+17,2.80E+16,4.03E+14,3.56E+12,1.27E+13
